LANG_NAME	Comments	English	Français	Deutsch	Italiano	US
STR_START	Refers to controller button	Start	START	Start	START	Start
STR_UP	Refers to controller button	Up	Haut	Hoch	Su	Up
STR_LEFT	Refers to controller button	Left	Gauche	Links	Sinistra	Left
STR_DOWN	Refers to controller button	Down	Bas	Runter	Giù	Down
STR_RIGHT	Refers to controller button	Right	Droite	Rechts	Destra	Right
STR_WORLD_GARDEN	Graphic zone name	Garden	Jardin	Garten	Giardino	Garden
STR_WORLD_ANCIENT	Graphic zone name	Ancients	Antiquité	Altertum	Antichità 	Ancients
STR_WORLD_SPACE	Graphic zone name	Space	Espace	Weltall	Spazio	Space
STR_WORLD_CITY	Graphic zone name	City	Ville	City	Metropoli	City
STR_WORLD_SUB	Graphic zone name	Subterranean	Souterrain	Unterwelt	Sotterranei	Subterranean
STR_WORLD_LAB	Graphic zone name	Laboratory	Laboratoire	Labor	Laboratorio	Laboratory
STR_WORLD_HALL	Graphic zone name	Halloween	Halloween	Halloween	Halloween	Halloween
STR_WORLD_SWAMPY	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_WORLD_RETRO	Graphic zone name	Super Retro	Super rétro	Super-Retro	Super retro	Super Retro
STR_LEVEL_UNNAMED	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_GARDEN1	Graphic zone name	The Garden	Le jardin	Garten	Il giardino	The Garden
STR_LEVEL_GARDENMULTI	DON’T TRANSLATE	BUGU	BUGU	BUGU	BUGU	BUGU
STR_LEVEL_ANCIENT1	Level name	Boulder Canyon	Pierre qui roule	Felsentempel	Tempio maledetto	Boulder Canyon
STR_LEVEL_ANCIENT2	Level name	Pyramid Climb	Sur la pyramide	Tal der Könige	Scala la piramide	Pyramid Climb
STR_LEVEL_ANCIENT3	Level name	Grindstone	Meule	Mühlstein	Macine	Grindstone
STR_LEVEL_ANCIENTMULTI	Multiplayer level name	Valley Rally	Rallye dans la vallée	Schlucht- Rallye	Valle dei templi	Valley Rally
STR_LEVEL_SPACE1	Level name	Space Station	Station orbitale	Raumstation	Stazione cosmica	Space Station
STR_LEVEL_SPACE2	Level name	Space Chase	Traque en orbite	Weltraumjagd	Corsa spaziale!	Space Chase
STR_LEVEL_SPACE3	Level name	Spacesuckers	Cosmogobeurs	Raumröhren	Risucchio alieno 	Spacesuckers
